ID_PELANGGAN,NAMA_PELANGGAN,EMAIL_PELANGGAN,TELP_PELANGGAN,ALAMAT_PELANGGAN,CREATED_AT,KATA_SANDI,FOTO_KTP
67,Qori Amalia,qori67@dummy.co.id,8.12346E+13,Jalan Pisang No.67,3/6/2026,****CENSORED****,ada
68,Rizky Maulana,rizky68@dummy.co.id,8.12346E+13,Jalan Salak No.68,3/6/2026,****CENSORED****,ada
69,Sari Wulandari,sari69@dummy.co.id,8.12346E+13,Jalan Semangka No.69,3/6/2026,****CENSORED****,ada
70,Taufik Hidayat,taufik70@dummy.co.id,8.12346E+13,Jalan Markisa No.70,3/6/2026,****CENSORED****,ada
71,Umar Bakri,umar71@dummy.co.id,8.12346E+13,Jalan Sudirman No.71,3/6/2026,****CENSORED****,ada
72,Vina Oktavia,vina72@dummy.co.id,8.12346E+13,Jalan Thamrin No.72,3/6/2026,****CENSORED****,ada
73,Wahyu Nugroho,wahyu73@dummy.co.id,8.12346E+13,Jalan Gatot Subroto No.73,3/6/2026,****CENSORED****,ada
74,Xena Maharani,xena74@dummy.co.id,8.12346E+13,Jalan Diponegoro No.74,3/6/2026,****CENSORED****,ada
75,Yusuf Effendi,yusuf75@dummy.co.id,8.12346E+13,Jalan Imam Bonjol No.75,3/6/2026,****CENSORED****,ada
76,Zahra Amelia,zahra76@dummy.co.id,8.12346E+13,Jalan Veteran No.76,3/6/2026,****CENSORED****,ada
77,Arif Budiman,arif77@dummy.co.id,8.12346E+13,Jalan Merdeka No.77,3/6/2026,****CENSORED****,ada
78,Bella Safitri,bella78@dummy.co.id,8.12346E+13,Jalan Pahlawan No.78,3/6/2026,****CENSORED****,ada
79,Cahyo Purnomo,cahyo79@dummy.co.id,8.12346E+13,Jalan Pemuda No.79,3/6/2026,****CENSORED****,ada
80,Dina Fitriani,dina80@dummy.co.id,8.12346E+13,Jalan Setia Budi No.80,3/6/2026,****CENSORED****,ada
81,Edi Surya,edi81@dummy.co.id,8.12346E+13,Jalan Cendana No.81,3/6/2026,****CENSORED****,ada
82,Fani Mardiana,fani82@dummy.co.id,8.12346E+13,Jalan Akasia No.82,3/6/2026,****CENSORED****,ada
83,Gunawan Saputra,gunawan83@dummy.co.id,8.12346E+13,Jalan Mahoni No.83,3/6/2026,****CENSORED****,ada
84,Hesty Wulandari,hesty84@dummy.co.id,8.12346E+13,Jalan Jati No.84,3/6/2026,****CENSORED****,ada
85,Imam Nawawi,imam85@dummy.co.id,8.12346E+13,Jalan Pinus No.85,3/6/2026,****CENSORED****,ada
